year,artist,title,duration
2023,Morgan Wallen,Last Night,00:02:43
2022,Glass Animals,Heat Waves,00:03:58
2021,Dua Lipa,Levitating,00:03:23
2020,The Weeknd,Blinding Lights,00:03:20
2019,Lil Nas X feat. Billy Ray Cyrus,Old Town Road,00:02:37
2018,Drake,God’s Plan,00:03:19
2017,Ed Sheeran,Shape of You,00:03:54
2016,Justin Bieber,Love Yourself,00:03:53
2015,Mark Ronson feat. Bruno Mars,Uptown Funk!,00:03:55
2014,Pharrell Williams,Happy,00:03:53
2013,Macklemore & Ryan Lewis feat. Wanz,Thrift Shop,00:03:55
2012,Gotye feat. Kimbra,Somebody That I Used to Know,00:04:05
2011,Adele,Rolling in the Deep,00:03:48
2010,Kesha,Tik Tok,00:03:14
2009,The Black Eyed Peas,Boom Boom Pow,00:03:38
2008,Flo Rida feat. T-Pain,Low,00:03:50
2007,Beyoncé,Irreplaceable,00:03:47
2006,Daniel Powter,Bad Day,00:03:55
2005,Mariah Carey,We Belong Together,00:03:21
2004,Usher feat. Lil Jon & Ludacris,Yeah!,00:04:13
2003,50 Cent,In Da Club,00:03:13
2002,Nickelback,How You Remind Me,00:03:43
2001,Lifehouse,Hanging by a Moment,00:03:36
2000,Faith Hill,Breathe,00:04:09
1999,Cher,Believe,00:03:59
1998,Next,Too Close,00:04:20
1997,Elton John,Candle in the Wind,00:03:50
1996,Los Del Río,Macarena,00:04:12
1995,Coolio feat. L.V.,Gangsta’s Paradise,00:04:04
1994,Ace of Base,The Sign,00:03:08
1993,Whitney Houston,I Will Always Love You,00:02:54
1992,Boyz II Men,End of the Road,00:04:13
1991,Bryan Adams,(Everything I Do) I Do It for You,00:04:06
1990,Wilson Phillips,Hold On,00:03:42
1989,Chicago,Look Away,00:04:02
1988,George Michael,Faith,00:03:16
1987,The Bangles,Walk Like an Egyptian,00:03:24
1986,Dionne & Friends,That’s What Friends Are For,00:04:15
1985,Wham!,Careless Whisper,00:05:04
1984,Prince,When Doves Cry,00:03:47
1983,The Police,Every Breath You Take,00:03:56
1982,Olivia Newton-John,Physical,00:03:44
1981,Kim Carnes,Bette Davis Eyes,00:03:48
1980,Blondie,Call Me,00:03:32
1979,The Knack,My Sharona,00:03:58
1978,Andy Gibb,Shadow Dancing,00:03:57
1977,Rod Stewart,Tonight’s the Night (Gonna Be Alright),00:03:56
1976,Wings,Silly Love Songs,00:05:54
1975,Captain & Tennille,Love Will Keep Us Together,00:03:24
1974,Barbra Streisand,The Way We Were,00:03:29
1973,Dawn feat. Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,00:03:20
1972,Roberta Flack,The First Time Ever I Saw Your Face,00:04:20
1971,Three Dog Night,Joy to the World,00:03:17
1970,Simon & Garfunkel,Bridge Over Troubled Water,00:04:55
1969,The Archies,"Sugar, Sugar",00:02:48
1968,The Beatles,Hey Jude,00:07:11
1967,Lulu,To Sir With Love,00:02:47
1966,The Mamas & The Papas,California Dreamin’,00:02:42
1965,Sam the Sham and the Pharaohs,Wooly Bully,00:02:20
1964,The Beatles,I Want to Hold Your Hand,00:02:24
1963,The Beach Boys,Surfin’ U.S.A.,00:02:29
1962,Mr. Acker Bilk,Stranger on the Shore,00:02:52
1961,Bobby Lewis,Tossin’ & Turnin’,00:02:29
1960,Percy Faith And His Orchestra,Theme From A Summer Place,00:02:25
1959,Johnny Horton,The Battle of New Orleans,00:02:33
1958,Domenico Modugno,"Nel blu, dipinto di blu (Volare)",00:03:29
1957,Elvis Presley,All Shook Up,00:01:57
1956,Elvis Presley,Heartbreak Hotel,00:02:08
1955,Perez Prado,Cherry Pink (and Apple Blossom White),00:02:59
1954,Kitty Kallen with Jack Pleis,Little Things Mean a Lot,00:02:57
1953,Percy Faith featuring Felicia Sanders,It's April Again,00:02:32
1952,Leroy Anderson,Blue Tango,00:02:59
1951,Nat King Cole,Too Young,00:03:11
1950,Gordon Jenkins & The Weavers,Goodnight Irene,00:02:25
1949,Vaughn Monroe,Riders in the Sky,00:03:45
1948,Pee Wee Hunt,Twelfth Street Rag,00:02:55
1947,Francis Craig,Near You,00:02:29
1946,Perry Como,Prisoner of Love,00:03:25
1945,"Bing Crosby, The Andrews Sisters",Don't Fence Me In,00:03:04
1944,Bing Crosby,Swinging on a Star,00:02:30
1943,The Mills Brothers,Paper Doll,00:02:50
1942,Bing Crosby,White Christmas,00:03:02
1941,Glenn Miller and His Orchestra,Chattanooga Choo Choo,00:03:27
1940,Bing Crosby,Only Forever,00:03:12
1939,Glenn Miller and his Orchestra,In the Mood,00:03:40
1938,Chick Webb Orchestra with Ella Fitzgerald,"A-Tisket, A-Tasket",00:02:34
1937,Bing Crosby,Sweet Leilani,00:03:14
1936,Bing Crosby,Pennies from Heaven,00:03:08
1935,Fred Astaire,Cheek to Cheek,00:03:19
1934,Bing Crosby,June in January,00:03:16
1933,Fred Astaire with Leo Reisman and His Orchestra,Night and Day,00:03:28
1932,Ted Lewis and His Band,In a Shanty in Old Shanty Town,00:03:15
1931,Wayne King and His Orchestra,Good-night Sweetheart,00:03:32
1930,Rudy Vallee and His Connecticut Yankees,Stein Song,00:03:17
1929,Nick Lucas,Tip Toe Through the Tulips,00:02:38
1928,Al Jolson,Sonny Boy,00:01:55
1927,Gene Austin,My Blue Heaven,00:02:11
1926,Paul Whiteman and His Orchestra,Valencia,00:02:50
1925,Isham Jones with Ray Miller's Orchestra,I'll See You in My Dreams,00:02:51
1924,Wendell Hall,It Ain't Gonna Rain No Mo',00:03:05
1923,Paul Whiteman and His Orchestra,Parade of the Wooden Soldiers,00:02:59
