period,elephant_id,age,shoulder_height,tusk_length
1966-68,58,2.5,149.0,30.0
1966-68,78,2.5,151.0,27.0
1966-68,86,2.5,127.0,27.0
1966-68,293,2.5,156.0,32.0
1966-68,29,3.0,146.0,28.5
1966-68,43,3.0,149.0,30.5
1966-68,221,3.5,166.0,43.0
1966-68,222,3.5,178.0,44.0
1966-68,241,3.5,177.0,45.0
1966-68,255,3.5,171.0,46.0
1966-68,153,3.75,175.0,47.0
1966-68,84,4.0,158.0,39.5
1966-68,87,4.0,157.0,42.0
1966-68,205,4.0,178.0,49.0
1966-68,238,4.0,176.0,45.0
1966-68,256,5.0,177.0,50.0
1966-68,296,5.0,178.0,43.0
1966-68,33,6.0,184.0,48.5
1966-68,240,6.0,191.0,57.0
1966-68,298,6.0,190.0,66.0
1966-68,224,7.5,194.0,59.0
1966-68,290,7.5,183.0,65.0
1966-68,38,8.0,199.0,60.0
1966-68,157,8.0,193.0,65.0
1966-68,155,8.5,201.0,67.0
1966-68,59,10.0,231.0,79.5
1966-68,66,10.0,203.0,82.0
1966-68,80,10.0,205.0,76.5
1966-68,220,10.0,195.0,79.0
1966-68,253,10.0,224.0,83.0
1966-68,278,10.0,218.0,88.0
1966-68,32,11.0,212.0,71.0
1966-68,48,11.0,221.0,80.0
1966-68,179,11.0,205.0,67.0
1966-68,297,11.0,190.0,83.0
1966-68,67,12.0,214.0,56.0
1966-68,7,13.0,213.0,91.0
1966-68,15,13.0,214.0,81.5
1966-68,164,13.0,218.0,82.0
1966-68,237,13.0,222.0,83.0
1966-68,194,13.5,219.0,70.0
1966-68,23,14.0,218.0,84.0
1966-68,148,14.0,233.0,94.0
1966-68,204,14.0,204.0,87.0
1966-68,219,14.0,220.0,73.0
1966-68,199,14.5,230.0,75.0
1966-68,35,2.0,147.0,22.5
1966-68,235,2.0,150.0,25.0
1966-68,139,2.25,160.0,28.0
1966-68,208,2.5,148.0,33.0
1966-68,173,2.75,156.0,32.0
1966-68,196,2.75,159.0,35.0
1966-68,6,3.0,180.0,56.0
1966-68,26,3.0,164.0,45.0
1966-68,75,3.0,169.0,43.0
1966-68,189,3.0,165.0,39.0
1966-68,277,3.0,156.0,42.0
1966-68,193,3.25,166.0,42.0
1966-68,5,3.5,164.0,49.0
1966-68,9,3.5,169.0,48.5
1966-68,52,3.5,169.0,51.5
1966-68,60,3.5,169.0,43.0
1966-68,163,3.5,173.0,61.0
1966-68,197,3.5,188.0,53.0
1966-68,279,3.5,161.0,47.0
1966-68,53,4.0,177.0,47.5
1966-68,63,4.0,172.0,50.5
1966-68,285,4.0,175.0,54.0
1966-68,207,5.0,172.0,57.0
1966-68,228,5.0,176.0,51.0
1966-68,262,5.0,195.0,62.0
1966-68,271,5.5,184.0,63.0
1966-68,21,6.0,172.0,59.0
1966-68,41,6.0,176.0,54.5
1966-68,44,6.0,192.0,66.5
1966-68,169,6.0,200.0,66.0
1966-68,182,6.0,185.0,64.0
1966-68,187,6.0,194.0,75.0
1966-68,236,6.0,188.0,58.0
1966-68,18,6.5,183.0,62.0
1966-68,25,7.0,195.0,69.5
1966-68,214,7.0,184.0,69.0
1966-68,57,7.5,199.0,86.5
1966-68,231,7.5,176.0,71.0
1966-68,3,8.0,208.0,92.5
1966-68,68,8.0,197.0,80.5
1966-68,141,8.0,199.0,83.0
1966-68,147,8.0,205.0,69.0
1966-68,181,8.0,217.0,80.0
1966-68,191,8.0,195.0,68.0
1966-68,198,8.0,193.0,65.0
1966-68,210,8.0,191.0,83.0
1966-68,229,8.0,196.0,84.0
1966-68,2,9.0,209.0,83.0
1966-68,286,9.0,215.0,83.0
1966-68,61,10.0,224.0,105.0
1966-68,77,10.0,202.0,76.0
1966-68,85,10.0,213.0,99.0
1966-68,92,10.0,233.0,119.5
1966-68,156,10.0,213.0,99.0
1966-68,251,10.0,215.0,111.0
1966-68,273,10.0,219.0,78.0
1966-68,283,10.0,204.0,84.0
1966-68,287,10.0,227.0,96.0
1966-68,172,11.0,222.0,112.0
1966-68,174,12.0,212.0,104.0
1966-68,185,12.0,237.0,106.0
1966-68,261,12.0,226.0,102.0
1966-68,36,13.0,213.0,78.0
1966-68,91,13.0,240.0,123.0
1966-68,158,13.0,246.0,98.0
1966-68,183,13.0,232.0,88.0
1966-68,249,13.0,240.0,99.0
1966-68,254,13.0,229.0,109.0
1966-68,142,14.0,220.0,115.0
1966-68,146,14.0,249.0,130.0
1966-68,176,14.0,231.0,100.0
1966-68,200,14.0,234.0,103.0
1966-68,223,14.0,227.0,94.0
1966-68,252,14.0,254.0,107.0
1966-68,272,14.0,246.0,112.0
1966-68,282,14.0,236.0,106.0
1966-68,257,2.5,135.0,29.5
1966-68,183,3.0,162.0,34.5
1966-68,243,3.0,162.0,37.5
1966-68,297,3.0,147.0,35.5
1966-68,140,3.5,164.0,43.0
1966-68,148,3.5,158.0,44.0
1966-68,197,3.5,164.0,41.75
1966-68,185,4.0,164.0,44.0
1966-68,210,4.0,180.0,49.6
1966-68,262,4.0,169.0,48.0
1966-68,225,4.5,164.0,40.0
1966-68,235,4.5,169.0,43.0
1966-68,22,5.0,169.0,42.5
1966-68,27,5.5,171.0,45.25
1966-68,111,5.5,185.0,53.25
1966-68,245,6.0,179.0,65.5
1966-68,96,6.5,189.0,63.0
1966-68,85,7.0,172.0,60.0
1966-68,199,7.0,191.0,63.5
1966-68,248,7.0,186.0,75.0
1966-68,76,7.5,188.0,60.0
1966-68,80,8.0,189.0,85.0
1966-68,246,8.0,203.0,83.0
1966-68,287,8.0,192.0,69.5
1966-68,34,8.5,192.0,68.0
1966-68,40,8.5,194.0,74.75
1966-68,51,8.5,199.0,82.0
1966-68,72,8.5,198.0,83.0
1966-68,109,8.5,205.0,65.0
1966-68,124,8.5,202.0,71.5
1966-68,73,9.0,204.0,76.0
1966-68,131,9.0,196.0,72.0
1966-68,142,9.0,196.0,69.25
1966-68,230,9.0,201.0,74.0
1966-68,232,9.0,211.0,72.75
1966-68,260,9.0,204.0,90.0
1966-68,114,10.0,197.0,80.5
1966-68,261,10.0,202.0,89.0
1966-68,167,2.0,140.0,28.5
1966-68,141,2.5,152.0,33.5
1966-68,153,2.5,148.0,26.0
1966-68,208,2.5,149.0,32.0
1966-68,238,2.5,148.0,27.0
1966-68,268,2.5,164.0,36.75
1966-68,298,2.5,153.0,34.5
1966-68,53,3.0,157.0,43.0
1966-68,207,3.0,171.0,48.5
1966-68,272,3.0,161.0,50.0
1966-68,283,3.0,157.0,44.0
1966-68,125,3.5,173.0,54.0
1966-68,150,3.5,169.0,54.25
1966-68,177,3.5,157.0,46.0
1966-68,251,3.5,167.0,50.5
1966-68,289,3.5,160.0,45.0
1966-68,15,4.0,171.0,58.0
1966-68,54,4.0,168.0,58.0
1966-68,119,4.0,176.0,59.0
1966-68,173,4.0,173.0,51.0
1966-68,187,4.0,168.0,53.0
1966-68,108,4.5,162.0,50.5
1966-68,170,4.5,178.0,64.0
1966-68,201,4.5,174.0,61.25
1966-68,78,5.0,161.0,48.0
1966-68,145,5.0,167.0,61.5
1966-68,23,5.5,168.0,57.5
1966-68,222,6.0,186.0,71.5
1966-68,89,7.0,183.0,64.0
1966-68,215,7.0,180.0,73.0
1966-68,252,7.0,188.0,81.0
1966-68,296,7.0,194.0,82.5
1966-68,269,7.5,201.0,88.0
1966-68,25,8.0,207.0,84.0
1966-68,38,8.0,197.0,91.0
1966-68,100,8.0,212.0,88.0
1966-68,118,8.0,182.0,71.25
1966-68,149,8.0,202.0,92.5
1966-68,12,8.5,203.0,80.5
1966-68,212,8.5,213.0,82.5
1966-68,241,8.5,216.0,97.5
1966-68,13,9.0,208.0,83.0
1966-68,47,9.0,200.0,98.75
1966-68,67,9.0,199.0,90.0
1966-68,159,9.0,207.0,89.0
1966-68,171,9.5,204.0,73.25
1966-68,91,10.0,200.0,94.75
1966-68,166,10.0,231.0,117.0
1966-68,169,10.0,200.0,97.0
1966-68,44,10.5,215.0,113.0
1966-68,113,11.0,218.0,104.0
1966-68,134,11.0,206.0,82.0
1966-68,112,12.0,226.0,97.0
1966-68,17,14.5,242.0,120.0
2005-13,52,4.5,195.0,47.077
2005-13,14,5.0,200.0,48.2328
2005-13,42,5.0,180.0,54.0118
2005-13,29,6.0,210.0,52.856
2005-13,26,7.0,185.0,41.298
2005-13,27,7.0,190.0,49.3886
2005-13,13,8.0,245.0,52.856
2005-13,60,8.0,210.0,70.193
2005-13,40,10.0,205.0,58.635
2005-13,39,11.0,255.0,54.0118
2005-13,19,11.0,240.0,55.1676
2005-13,62,11.0,230.0,64.414
2005-13,23,11.5,230.0,70.193
2005-13,25,3.0,168.0,26.5
2005-13,36,3.5,175.0,48.5
2005-13,18,4.0,150.0,31.7
2005-13,48,4.5,150.0,33.0
2005-13,12,6.0,195.0,45.9
2005-13,33,6.0,185.0,49.8
2005-13,49,6.5,180.0,71.8
2005-13,6,7.0,215.0,58.9
2005-13,28,7.0,190.0,65.3
2005-13,35,7.0,190.0,82.1
2005-13,61,7.0,185.0,52.4
2005-13,38,9.0,260.0,84.7
2005-13,32,10.0,230.0,71.8
2005-13,43,10.0,220.0,84.7
2005-13,45,10.0,194.0,58.9
2005-13,20,11.0,220.0,65.3
2005-13,24,12.0,224.0,73.1
2005-13,41,13.0,210.0,58.9
2005-13,47,13.0,215.0,97.7
2005-13,42,2.5,160.0,33.2074
2005-13,56,3.0,170.0,43.6096
2005-13,65,3.0,220.0,49.3886
2005-13,117,3.5,160.0,33.2074
2005-13,99,3.5,180.0,41.298
2005-13,11,3.5,180.0,47.077
2005-13,82,4.5,150.0,38.9864
2005-13,127,4.5,170.0,40.1422
2005-13,64,4.5,180.0,48.2328
2005-13,135,4.5,190.0,49.3886
2005-13,132,4.5,190.0,51.7002
2005-13,30,4.5,160.0,52.856
2005-13,36,4.5,190.0,59.7908
2005-13,148,5.5,190.0,43.6096
2005-13,101,5.5,180.0,49.3886
2005-13,3,5.5,160.0,54.0118
2005-13,67,7.5,200.0,52.856
2005-13,39,7.5,200.0,60.9466
2005-13,126,8.5,220.0,57.4792
2005-13,63,8.5,220.0,93.309
2005-13,113,9.0,230.0,57.4792
2005-13,79,9.0,220.0,59.7908
2005-13,16,9.0,230.0,60.9466
2005-13,69,9.5,240.0,64.414
2005-13,23,12.5,190.0,59.7908
2005-13,49,12.5,240.0,62.1024
2005-13,146,12.5,240.0,72.5046
2005-13,111,2.5,140.0,38.2
2005-13,35,3.5,160.0,44.6
2005-13,38,3.5,160.0,38.2
2005-13,70,3.5,190.0,42.0
2005-13,85,3.5,180.0,53.7
2005-13,114,3.5,180.0,48.5
2005-13,125,3.5,180.0,45.9
2005-13,24,4.5,170.0,44.6
2005-13,71,4.5,200.0,43.3
2005-13,110,4.5,190.0,73.1
2005-13,122,4.5,190.0,55.0
2005-13,5,5.5,240.0,91.2
2005-13,83,5.5,200.0,60.1
2005-13,33,6.0,220.0,74.4
2005-13,123,6.5,180.0,43.3
2005-13,145,6.5,200.0,53.7
2005-13,17,7.5,190.0,65.3
2005-13,22,7.5,210.0,62.7
2005-13,43,7.5,180.0,51.1
2005-13,53,7.5,220.0,78.3
2005-13,76,7.5,210.0,75.7
2005-13,78,7.5,220.0,84.7
2005-13,144,7.5,220.0,58.9
2005-13,1,9.0,220.0,99.0
2005-13,48,9.0,230.0,105.4
2005-13,105,9.0,210.0,79.6
